epoch,d_loss,g_loss,e_loss,recon_loss,kl_loss
241,1.4859,0.8303,0.2162,0.0032,5.7324
242,1.2552,1.0583,0.2134,0.0031,5.7119
243,1.3952,0.8614,0.2166,0.0031,6.0259
244,1.3082,0.9256,0.2200,0.0032,6.1038
245,1.3264,0.9224,0.2078,0.0030,5.8931
246,1.1756,1.0400,0.2162,0.0031,6.0307
247,1.5289,0.9049,0.1999,0.0029,5.7269
248,1.3119,0.8866,0.1948,0.0027,5.7500
249,1.5162,0.7980,0.1882,0.0026,5.5756
250,1.3459,0.8603,0.1761,0.0024,5.4402
251,1.3939,0.8159,0.1751,0.0024,5.4444
252,1.4228,0.8411,0.1815,0.0025,5.4642
253,1.3719,0.9088,0.1967,0.0028,5.7831
254,1.3311,0.8863,0.1899,0.0027,5.7426
255,1.3640,0.8128,0.1944,0.0027,5.7512
256,1.3976,0.9900,0.1929,0.0027,5.7432
257,1.3128,0.9310,0.1907,0.0027,5.7072
258,1.2392,0.9611,0.2090,0.0030,5.8213
259,1.4836,0.8619,0.2075,0.0030,5.7612
260,1.3308,0.8930,0.1960,0.0028,5.7337
261,1.3844,0.8690,0.1945,0.0027,5.7196
262,1.4317,0.8666,0.1994,0.0029,5.6024
263,1.0391,1.1477,0.2009,0.0029,5.5957
264,1.4801,0.8471,0.2523,0.0037,6.7395
265,1.3765,0.8988,0.2893,0.0042,7.7471
266,1.3526,0.9618,0.2321,0.0034,6.2845
267,1.4368,0.8621,0.1986,0.0028,5.9662
268,1.4028,0.8528,0.1879,0.0026,5.6110
269,1.4033,0.8461,0.1756,0.0024,5.5216
270,1.4002,0.8027,0.1610,0.0022,5.1827
271,1.4151,0.8330,0.1558,0.0021,5.0330
272,1.4046,0.8532,0.1560,0.0021,4.9640
273,1.3569,0.8485,0.1724,0.0024,5.4112
274,1.3469,0.9468,0.1974,0.0028,5.5404
275,1.4668,0.7861,0.1935,0.0028,5.5894
276,1.3589,0.9415,0.1734,0.0024,5.3577
277,1.2409,0.9425,0.1738,0.0024,5.3440
278,1.3242,0.8868,0.1744,0.0024,5.2406
279,1.3196,0.8723,0.1757,0.0025,5.2011
280,1.3516,0.9432,0.1838,0.0026,5.2835
281,1.2154,0.9793,0.1944,0.0028,5.2963
282,1.3169,1.0588,0.1897,0.0027,5.3790
283,1.1029,1.0481,0.1888,0.0027,5.4066
284,1.3035,0.9759,0.2149,0.0032,5.3983
285,1.3574,1.0034,0.2152,0.0032,5.6068
286,1.2101,1.0391,0.2080,0.0031,5.5183
287,1.5035,0.8777,0.2159,0.0032,5.5814
288,1.0558,1.1642,0.2080,0.0031,5.4964
289,1.3945,0.9221,0.2093,0.0031,5.5509
290,1.2710,0.9789,0.2142,0.0032,5.5593
291,1.3401,0.9673,0.2067,0.0030,5.5998
292,1.1683,1.0477,0.2064,0.0030,5.4731
293,1.4704,0.8510,0.2042,0.0030,5.4607
294,1.2962,0.9211,0.1822,0.0026,5.2177
295,1.4095,0.8315,0.1756,0.0025,5.1233
296,1.4244,0.8509,0.1725,0.0024,5.0371
297,1.3647,0.8614,0.1677,0.0024,4.9825
298,1.4056,0.8865,0.1642,0.0023,4.9088
299,1.0621,1.1044,0.1737,0.0025,4.9848
300,1.2993,0.8701,0.1896,0.0028,5.1689
301,1.4835,0.9019,0.1862,0.0027,5.2388
302,1.2175,1.0339,0.1877,0.0027,5.1619
303,1.1827,1.0686,0.2346,0.0036,5.3855
304,1.1157,1.1731,0.2490,0.0038,6.1346
305,1.1667,1.0959,0.2713,0.0042,5.8962
306,1.1943,1.1458,0.2805,0.0044,6.1455
307,1.4208,0.9193,0.2322,0.0035,5.8426
308,1.1584,1.0192,0.2014,0.0029,5.4860
309,1.1481,1.0630,0.1967,0.0029,5.2390
